处理步骤,处理规则,处理前记录数,处理后记录数,影响记录数
删除完全重复行,移除所有字段完全一致的重复记录,5630,5630,0
数值缺失填充-Tenure,使用数据集总体中位数填补缺失，不将缺失误判为0,5630,5630,264
数值缺失填充-WarehouseToHome,使用数据集总体中位数填补缺失，不将缺失误判为0,5630,5630,251
数值缺失填充-HourSpendOnApp,使用数据集总体中位数填补缺失，不将缺失误判为0,5630,5630,255
数值缺失填充-OrderAmountHikeFromlastYear,使用数据集总体中位数填补缺失，不将缺失误判为0,5630,5630,265
数值缺失填充-CouponUsed,使用数据集总体中位数填补缺失，不将缺失误判为0,5630,5630,256
数值缺失填充-OrderCount,使用数据集总体中位数填补缺失，不将缺失误判为0,5630,5630,258
数值缺失填充-DaySinceLastOrder,使用数据集总体中位数填补缺失，不将缺失误判为0,5630,5630,307
类别标准化-PreferredLoginDevice,同义词统一映射：{'Phone': 'Mobile Phone'}，归为同一业务类别,5630,5630,1231
类别标准化-PreferredPaymentMode,"同义词统一映射：{'COD': 'Cash on Delivery', 'CC': 'Credit Card'}，归为同一业务类别",5630,5630,638
类别标准化-PreferedOrderCat,同义词统一映射：{'Mobile': 'Mobile Phone'}，归为同一业务类别,5630,5630,809
类型转换-Churn,业务标识字段转为整数类型,5630,5630,0
类型转换-Complain,业务标识字段转为整数类型,5630,5630,0
